部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度（KM/H）,急加速,急减速,急转弯,疲劳驾驶（次数）,夜间驾驶时长（H）,日期,驾驶行为评分,插拔
04无排行无提醒,粤B4C0S6,13.59,13.59,2.51,2.89,0,0,12,0,0,0.33,2019/8/1,0,未拔出
04无排行无提醒,粤B4C0S6,28.87,42.46,4.62,1.71,16.88,1,19,0,0,1.35,2019/8/2,75.55,未拔出
04无排行无提醒,粤B4C0S6,8.06,50.52,1.59,0.87,9.26,0,8,1,0,0.02,2019/8/3,94.98,未拔出
04无排行无提醒,粤B4C0S6,5.9,56.42,1.62,0.77,7.66,0,1,0,0,0,2019/8/4,96.59,未拔出
04无排行无提醒,粤B4C0S6,163.23,219.65,16.93,4.52,36.11,3,43,0,0,2.16,2019/8/5,68.29,未拔出
04无排行无提醒,粤B4C0S6,119.34,338.99,11.94,3.26,0,3,72,0,0,1.64,2019/8/6,0,未拔出
04无排行无提醒,粤B4C0S6,134.21,473.2,15.3,4.14,0,4,106,4,0,2.73,2019/8/7,0,未拔出
04无排行无提醒,粤B4C0S6,111.23,584.43,11.91,3.29,0,2,94,0,0,1.67,2019/8/8,0,未拔出
04无排行无提醒,粤B4C0S6,106.43,690.86,11.52,3.18,33.47,8,47,0,0,2.15,2019/8/9,73.66,未拔出
04无排行无提醒,粤S09158,7.7,7.7,1.23,0.55,14,2,6,0,0,0.55,2019/8/9,84.38,未拔出
04无排行无提醒,粤S09158,29.56,37.26,4.84,1.97,15.01,13,22,0,0,0.08,2019/8/10,94.27,未拔出
04无排行无提醒,粤B4C0S6,0,690.86,0,0,0,0,0,0,0,0,2019/8/10,100,未拔出
04无排行无提醒,粤B4C0S6,52.88,743.74,9.38,3.14,16.84,3,39,0,0,0.95,2019/8/11,73.36,未拔出
04无排行无提醒,粤S09158,50.85,88.11,7.56,3.17,16.04,23,35,0,0,0.24,2019/8/11,92.89,未拔出
04无排行无提醒,粤B3RC91,22.27,29.36,4.34,1.76,12.65,0,1,0,0,0.12,2019/8/11,97.51,未拔出
04无排行无提醒,粤B4C0S6,105.42,849.16,10.45,2.62,40.24,1,26,0,0,1.32,2019/8/12,74.95,未拔出
04无排行无提醒,粤B3RC91,79.24,108.6,9.8,3.36,23.58,1,10,0,0,1.78,2019/8/12,83.6,未拔出
04无排行无提醒,粤S09158,25.12,113.23,4.1,1.81,13.88,18,21,0,0,0,2019/8/12,92.84,未拔出
04无排行无提醒,粤B4C0S6,107.69,956.85,10.34,2.77,38.88,1,21,0,0,1.64,2019/8/13,75.89,未拔出
04无排行无提醒,粤B3RC91,0,108.6,0,4.64,0,0,0,0,1,0,2019/8/13,0,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/8/13,100,未拔出
04无排行无提醒,粤B4C0S6,127.1,1083.95,12.55,3.42,37.16,4,29,0,0,1.93,2019/8/14,72.23,未拔出
04无排行无提醒,粤B3RC91,2.73,111.33,0.6,0.27,10.11,0,0,0,0,0.08,2019/8/14,98.51,未拔出
04无排行无提醒,粤PR5795,0.03,0.03,3.31,2.39,0.01,0,0,0,0,1.88,2019/8/14,91.37,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/8/14,100,未拔出
04无排行无提醒,粤B4C0S6,110.51,1194.46,9.67,2.22,49.78,6,25,0,0,1.23,2019/8/15,72.97,未拔出
04无排行无提醒,粤B3RC91,109.22,220.55,13.41,3.8,28.74,0,28,0,0,0,2019/8/15,90.07,未拔出
